id,url,ja,zh_cn,translate
18,https://www.jav321.com/genre/18/1,,恐怖,ホラー
21,https://www.jav321.com/genre/21/1,,残忍画面,残虐表現
25,https://www.jav321.com/genre/25/1,,拘束,拘束
27,https://www.jav321.com/genre/27/1,,凌辱,辱め
28,https://www.jav321.com/genre/28/1,,羞恥,羞恥
29,https://www.jav321.com/genre/29/1,,輪姦,輪姦
35,https://www.jav321.com/genre/35/1,,女性向,女性向け
38,https://www.jav321.com/genre/38/1,,舔陰,クンニ
42,https://www.jav321.com/genre/42/1,,娃娃,ドール
48,https://www.jav321.com/genre/48/1,,制服,制服
55,https://www.jav321.com/genre/55/1,,处女,処女
59,https://www.jav321.com/genre/59/1,,双性人,ふたなり
62,https://www.jav321.com/genre/62/1,,触手,触手
63,https://www.jav321.com/genre/63/1,,女祭司,巫女
64,https://www.jav321.com/genre/64/1,,猫耳女,ネコミミ・獣系
72,https://www.jav321.com/genre/72/1,,異物插入,異物挿入
81,https://www.jav321.com/genre/81/1,,故事集,複数話
88,https://www.jav321.com/genre/88/1,,拳交,フィスト
93,https://www.jav321.com/genre/93/1,,裸体围裙,裸エプロン
94,https://www.jav321.com/genre/94/1,,及膝袜,ニーソックス
96,https://www.jav321.com/genre/96/1,,孕育,孕ませ
97,https://www.jav321.com/genre/97/1,,肌肉,筋肉
102,https://www.jav321.com/genre/102/1,,乳房,美乳
514,https://www.jav321.com/genre/514/1,,格斗家,アクション・格闘
524,https://www.jav321.com/genre/524/1,,岳母,義母
527,https://www.jav321.com/genre/527/1,,大小姐,お嬢様・令嬢
528,https://www.jav321.com/genre/528/1,,公主,お姫様
553,https://www.jav321.com/genre/553/1,,学校作品,学園もの
555,https://www.jav321.com/genre/555/1,,恋爱,恋愛
558,https://www.jav321.com/genre/558/1,,耽美,ボーイズラブ
567,https://www.jav321.com/genre/567/1,,粗暴,鬼畜
568,https://www.jav321.com/genre/568/1,,黑暗系统,ダーク系
617,https://www.jav321.com/genre/617/1,,3D,3D
1001,https://www.jav321.com/genre/1001/1,,白領,OL
1003,https://www.jav321.com/genre/1003/1,,女主人、女老板,女将・女主人
1004,https://www.jav321.com/genre/1004/1,,教師,インストラクター
1005,https://www.jav321.com/genre/1005/1,,展场女孩,キャンギャル
1007,https://www.jav321.com/genre/1007/1,,空姐,スチュワーデス
1008,https://www.jav321.com/genre/1008/1,,女佣,メイド
1009,https://www.jav321.com/genre/1009/1,,模特,モデル
1011,https://www.jav321.com/genre/1011/1,,赛车女郎,レースクィーン
1012,https://www.jav321.com/genre/1012/1,,车掌小姐,バスガイド
1013,https://www.jav321.com/genre/1013/1,,护士,看護婦・ナース
1014,https://www.jav321.com/genre/1014/1,,熟女,熟女
1015,https://www.jav321.com/genre/1015/1,,醫生,女医
1016,https://www.jav321.com/genre/1016/1,,女教師,女教師
1017,https://www.jav321.com/genre/1017/1,,女主播,女子アナ
1018,https://www.jav321.com/genre/1018/1,,學生,女子校生
1019,https://www.jav321.com/genre/1019/1,,女大学生,女子大生
1020,https://www.jav321.com/genre/1020/1,,新娘、年轻妻子,花嫁・若妻
1021,https://www.jav321.com/genre/1021/1,,格斗家,格闘家
1022,https://www.jav321.com/genre/1022/1,,家教,家庭教師
